"","GDP.PPP.","Indus Employment","Agri Employment","GHG Emission","Renew Energy","Fossile Fuel","Energy.Use.PC","CO2.Emissions.PC","Population.Total","Protected Area","Paris_Agreement_Code","Polityxconst","UNmentions"
"86",131290341878.612,22.4564417820993,17.9559347637087,79994.0142920734,1.85027802745367,99.0204623710553,2722.35571018666,8.13137254177447,6279250.66666667,0.32,1,0,0
"87",-85291793776.9856,17.1247498546157,29.4837439366056,-65540.5740880144,47.5526340580081,50.6123788526671,851.573944652272,1.3722494834253,36534.6666666667,44.29,1,6.80070623961548,2
"88",67834656697.9507,24.7999998728434,8.60000006357829,28517.7950066199,23.0214014522483,73.6888851997686,2385.74656145338,4.51047576191191,3037723.33333333,16.3,1,7,3
"89",46680655748.273,12.6333332061768,1.10000002384186,12858.4513978424,3.84138971087605,87.3950805951577,8035.91770840633,20.9407749737788,518748.666666667,34.61,2,7,20
"90",29893782508.9189,13.4386019778703,47.4446325412898,117583.285141308,77.0923302757558,26.0973441687793,205.314317283767,0.106403381095096,21684039.6666667,1.98,2,6,6
"91",16277300957.6406,14.0210074853484,40.071548781662,21524.4769779015,69.6843311114073,32.1186047249333,956.280176717678,0.0768846058748553,15232357.6666667,16.81,1,6,22
"92",625714775693.698,28.2999998728434,12.4666668574015,271531.106501358,6.46133365110885,94.7379121465215,2696.71855985993,7.6730828723285,28571470,8.04,2,5,5
"93",4117741706.50809,16.5962444004537,20.1083014005958,706.028135353498,17.5315185186832,82.2101593609677,1030.46061096172,2.5924057793001,376333.333333333,0.07,2,5.48007960622931,26
"94",29525449481.2033,13.3624399509401,40.4586954556532,77133.3319078057,80.3465060721784,27.0551999245168,639.710611922588,0.0640293683035986,15639578,8.38,2,5,6
"95",11718448557.9823,24.2000001271566,1.13333332538605,2000.11469370027,1.44151158066506,99.0495370954777,2010.25031805581,6.16763985809228,416743.666666667,0.47,2,8.34312979500756,14
"96",185804411.952661,13.9832105050698,25.5844987783913,7.8784185339,44.8848848168063,51.9663591440668,807.245305655731,1.95410213230733,52544,0.19,2,7.12750163781845,41
"97",12590390678.4171,17.4709108717169,31.1117726564313,13149.3433697852,40.5011122846398,60.8159730249376,535.945461017994,0.65862228660195,3683896,1.38,1,2,4
"98",20227732211.3207,27.9000002543132,4.35190314521185,3437.75918253507,6.28768178367233,82.4164177604296,1058.24754607396,3.16770875295291,1252895.33333333,0.01,2,7,46
